"Food","Origin Country","Glucose","Carbohidrate","Vitamins Contained","Price Estimate"
"Tarragon - Fresh","China","85","276","Medium","3221"
"Napkin White - Starched","China","41","379","Medium","2198"
"Drambuie","France","20","127","Medium","3423"
"Napkin - Dinner, White","China","53","390","Medium","2591"
"Chicken - Tenderloin","Colombia","42","392","Medium","2944"
"Muffin - Blueberry Individual","Brazil","18","179","High","3994"
"Wine - Magnotta, White","Lithuania","29","173","High","3770"
"Energy - Boo - Koo","Canada","58","310","Medium","2673"
"Lotus Rootlets - Canned","Germany","90","270","Medium","3064"
"Bread - English Muffin","Nigeria","26","159","High","3461"
"Sauce - Chili","Indonesia","82","242","Low","3199"
"Longos - Grilled Salmon With Bbq","Afghanistan","88","282","Low","3316"
"Ham - Smoked, Bone - In","Brazil","0","107","High","3714"
"Soup - Boston Clam Chowder","Portugal","5","175","High","3992"
"Crush - Orange, 355ml","China","58","367","Medium","2732"
"Syrup - Monin, Amaretta","Denmark","39","323","Medium","3361"
"Oven Mitt - 13 Inch","Morocco","109","227","Low","3285"
"Loquat","Serbia","49","383","Medium","2913"
"Carbonated Water - Blackberry","Kazakhstan","26","143","High","3061"
"Lemonade - Kiwi, 591 Ml","Indonesia","89","235","Low","3163"
"Soup - Clam Chowder, Dry Mix","Iraq","63","285","Low","3244"
"Cleaner - Comet","Iran","13","223","Medium","3849"
"Wine - Magnotta - Bel Paese White","Canada","58","363","Medium","2990"
"Sauce - Oyster","Democratic Republic of the Congo","31","363","High","2727"
"Wine - German Riesling","Canada","60","324","Medium","3168"
"Cake Slab","Indonesia","23","176","High","3575"
"Wine - Magnotta - Pinot Gris Sr","China","11","134","High","3150"
"Sour Puss - Tangerine","Brazil","60","271","Low","3390"
"Garlic Powder","Bosnia and Herzegovina","65","254","Low","3569"
"Veal - Osso Bucco","Brazil","83","290","Low","3207"
"Lamb - Whole Head Off,nz","Philippines","87","252","Low","3454"
"Bamboo Shoots - Sliced","United States","87","255","Low","3403"
"Chicken - White Meat, No Tender","China","28","139","High","3207"
"Curry Paste - Madras","Portugal","33","345","Medium","3396"
"Cheese Cloth No 100","Czech Republic","30","319","High","2798"
"Lettuce - Curly Endive","Russia","21","102","Medium","3051"
"Fiddlehead - Frozen","Indonesia","18","158","High","3342"
"Daves Island Stinger","Bolivia","56","209","Low","3211"
"Puree - Kiwi","Argentina","24","194","High","3572"
"Coffee - Irish Cream","China","86","235","Low","2722"
"Chevril","China","55","360","High","2510"
"Pasta - Bauletti, Chicken White","China","8","164","High","3616"
"Water - Mineral, Natural","Argentina","57","300","Medium","2853"
"Cookies Cereal Nut","Brazil","27","108","Low","3374"
"Rice Wine - Aji Mirin","Syria","75","228","Low","3162"
"Lotus Root","China","30","366","Medium","2662"
"Soup - Campbells, Spinach Crm","Portugal","7","105","High","3400"
"Ice Cream - Vanilla","Portugal","69","275","Medium","3439"
"Chinese Lemon Pork","Indonesia","67","176","Low","3182"
"Container - Hngd Cll Blk 7x7x3","China","32","306","Medium","3200"
"Skirt - 29 Foot","China","51","366","Medium","3190"
"Tea - Decaf Lipton","Ivory Coast","26","110","High","3175"
"Peas Snow","Sweden","63","290","Low","3492"
"Nut - Hazelnut, Ground, Natural","Philippines","17","174","High","3995"
"Lettuce - Escarole","Sweden","28","103","High","3494"
"Shrimp - Tiger 21/25","Spain","84","233","High","3284"
"Dc - Sakura Fu","Israel","34","101","High","3237"
"Thermometer Digital","Portugal","38","101","Low","3938"
"Mushroom - Portebello","Philippines","67","257","Low","3082"
"Ginger - Ground","Portugal","76","288","Low","3323"
"Wine - Pinot Noir Stoneleigh","Czech Republic","28","155","High","3742"
"Capers - Ox Eye Daisy","Peru","15","154","High","3754"
"Gelatine Leaves - Bulk","China","27","129","High","3650"
"Milkettes - 2%","United States","55","373","Medium","3051"
"Pepper - White, Ground","Greece","70","285","Low","3239"
"Stock - Fish","Indonesia","72","228","Low","3348"
"Wine - Mas Chicet Rose, Vintage","China","23","196","High","3371"
"Butter Ripple - Phillips","Panama","7","167","High","3167"
"Bread Country Roll","Poland","56","320","Medium","2772"
"Cookies - Englishbay Wht","Colombia","7","118","High","3790"
"Coffee - Irish Cream","China","58","364","Medium","3281"
"Spinach - Packaged","Kenya","82","298","Low","3233"
"Lobster - Canned Premium","Argentina","63","294","Low","3015"
"Tarragon - Fresh","China","15","114","High","3431"
"Soup - Knorr, Classic Can. Chili","Indonesia","38","399","Medium","2599"
"Soup - Beef, Base Mix","China","15","123","High","3589"
"Pasta - Detalini, White, Fresh","Sweden","78","297","Low","3106"
"Bagel - Whole White Sesame","Sweden","50","302","Medium","3086"
"Ranchero - Primerba, Paste","Mexico","82","298","Low","3446"
"Lentils - Red, Dry","Russia","36","174","High","3353"
"Lime Cordial - Roses","China","53","389","High","2512"
"Hipnotiq Liquor","Portugal","29","116","High","3735"
"Juice - Propel Sport","China","72","236","Low","3477"
"Squid Ink","Indonesia","39","357","Medium","2955"
"Daikon Radish","China","59","384","Medium","3455"
"Cheese - Bakers Cream Cheese","China","90","285","Low","2853"
"Curry Powder","Indonesia","60","426","Medium","2612"
"Croissant, Raw - Mini","Morocco","22","123","High","3084"
"Salmon - Canned","Yemen","9","144","High","3223"
"Cheese - La Sauvagine","Brazil","13","187","High","3389"
"Jello - Assorted","China","21","141","High","3285"
"Soup - Campbells Mushroom","Poland","52","289","Low","3087"
"Muskox - French Rack","Bangladesh","42","342","Medium","3183"
"Tomato Paste","China","50","335","High","3273"
"Extract - Vanilla,artificial","Azerbaijan","46","347","Medium","2690"
"Creme De Cacao White","Croatia","90","211","Low","3250"
"Cornish Hen","Peru","60","239","Low","3465"
"Milkettes - 2%","Greece","57","389","Medium","3132"
"Bandage - Flexible Neon","China","2","157","High","3951"
"Red Currant Jelly","Portugal","86","201","High","3230"
"Table Cloth 62x114 Colour","Philippines","20","149","High","3129"
"Salt And Pepper Mix - White","Poland","26","121","Low","3980"
"Cattail Hearts","Estonia","81","210","Low","3277"
"Cocoa Feuilletine","Brazil","67","290","Low","3396"
"Spring Roll Wrappers","Honduras","14","162","High","3009"
"Bananas","Indonesia","68","290","Medium","3298"
"Soup - Campbells, Classic Chix","United States","32","379","High","3464"
"Nescafe - Frothy French Vanilla","Morocco","26","175","High","3592"
"Calaloo","Malta","34","307","Medium","3308"
"Goldschalger","Vietnam","73","216","Low","3075"
"Cheese Cheddar Processed","Indonesia","52","364","Medium","3401"
"Halibut - Fletches","United States","54","396","Medium","2867"
"Cod - Black Whole Fillet","Indonesia","48","362","Medium","2925"
"Lamb - Whole, Frozen","Finland","84","260","High","3444"
"Kolrabi","Malaysia","55","370","Medium","3032"
"Bread - Roll, Calabrese","Ukraine","52","349","Medium","3244"
"Coconut - Whole","Vietnam","37","340","Medium","2566"
"Island Oasis - Lemonade","China","53","328","Medium","3116"
"Vinegar - White","Switzerland","9","116","High","3749"
"Beef - Ground, Extra Lean, Fresh","Serbia","67","283","Low","3122"
"V8 Splash Strawberry Banana","Philippines","71","202","Low","3358"
"Hipnotiq Liquor","Indonesia","67","255","Low","3399"
"Pepper Squash","Sweden","90","251","Low","3354"
"Nut - Walnut, Chopped","Indonesia","18","342","Medium","2517"
"Wine - Saint - Bris 2002, Sauv","China","83","258","High","3034"
"Energy Drink Red Bull","China","75","267","Low","3187"
"Beans - Wax","Sweden","24","183","High","3112"
"Vinegar - White Wine","France","69","276","Low","3149"
"Veal - Brisket, Provimi, Bone - In","Nigeria","37","347","Medium","3320"
"Anchovy Paste - 56 G Tube","France","38","249","Medium","3278"
"Beef - Texas Style Burger","Argentina","14","385","High","3453"
"Lemonade - Island Tea, 591 Ml","Poland","54","393","Medium","3300"
"Pepper - Red, Finger Hot","United States","40","398","Medium","2973"
"Puree - Blackcurrant","United States","51","354","Low","2991"
"Veal - Sweetbread","Serbia","17","139","High","3591"
"Sugar - Cubes","Vietnam","62","204","Low","3151"
"Mushroom - Chanterelle Frozen","Panama","4","248","Medium","3642"
"Soupcontfoam16oz 116con","United States","18","105","High","3326"
"Pineapple - Golden","Republic of the Congo","50","321","Medium","3133"
"Flax Seed","China","109","212","High","3421"
"Potatoes - Idaho 100 Count","Sweden","38","393","Medium","3202"
"Salt And Pepper Mix - White","Ukraine","26","169","High","3770"
"Sambuca - Opal Nera","Ukraine","89","245","Low","3462"
"Rabbit - Frozen","Indonesia","33","307","Medium","3053"
"Ice Cream - Fudge Bars","Indonesia","71","350","Low","3105"
"Dasheen","China","69","299","Low","3079"
"Cheese - Mascarpone","France","45","350","Medium","2706"
"Potato - Sweet","South Africa","28","100","Low","3773"
"Sausage - Blood Pudding","China","60","253","Medium","3055"
"Pomello","Canada","19","111","Medium","3141"
"Salt - Table","Azerbaijan","45","302","Medium","2637"
"Tamarind Paste","Estonia","47","357","High","2885"
"Pastry - Mini French Pastries","United States","54","321","High","3048"
"Nut - Walnut, Pieces","Russia","37","318","Medium","2751"
"Banana","Brazil","50","120","Low","3114"
"Turkey - Breast, Boneless Sk On","Japan","34","386","Medium","3340"
"Oven Mitts 17 Inch","Canada","79","254","Low","3026"
"Wine - Redchard Merritt","Portugal","63","219","Low","3320"
"Pickle - Dill","Brazil","82","215","Low","3633"
"Emulsifier","China","61","296","Low","3450"
"Table Cloth 72x144 White","Indonesia","41","325","Medium","2774"
"Jolt Cola - Electric Blue","Indonesia","-4","73","Medium","3598"
"Frangelico","Ukraine","52","375","Medium","2963"
"Bandage - Flexible Neon","Sweden","12","156","High","3840"
"Pork Casing","Czech Republic","66","229","Low","3142"
"Flour - Whole Wheat","China","73","236","Low","3335"
"Blueberries","Czech Republic","12","137","High","3981"
"Lady Fingers","Bulgaria","54","397","Medium","2630"
"Basil - Thai","China","36","324","Medium","3239"
"Muffin - Bran Ind Wrpd","Ethiopia","71","321","Medium","2857"
"Lemon Balm - Fresh","Tajikistan","0","169","High","3810"
"Veal - Round, Eye Of","Indonesia","54","306","Medium","2682"
"Nori Sea Weed","Russia","56","304","Medium","3269"
"Cookie Chocolate Chip With","Myanmar","42","397","High","3229"
"Pear - Asian","Portugal","96","273","Low","3157"
"Chocolate - Sugar Free Semi Choc","United Kingdom","15","140","High","2765"
"Egg Patty Fried","Philippines","23","153","Medium","3955"
"Wood Chips - Regular","France","57","346","Medium","2525"
"Extract - Almond","Saudi Arabia","29","120","Low","3156"
"Artichoke - Hearts, Canned","China","71","206","Low","3329"
"Burger Veggie","Malta","73","286","Low","2831"
"Beans - Kidney, Canned","China","77","278","Low","3364"
"Pasta - Bauletti, Chicken White","United Kingdom","-15","162","High","3584"
"Lettuce - Green Leaf","Portugal","61","236","Low","3183"
"Wine - Red, Mosaic Zweigelt","Indonesia","49","390","Low","2688"
"Crab - Back Fin Meat, Canned","China","37","139","High","3375"
"Wine - Magnotta, Merlot Sr Vqa","Lithuania","85","260","Low","3203"
"The Pop Shoppe - Root Beer","China","15","147","Medium","3538"
"Appetizer - Mango Chevre","China","59","377","Medium","2805"
"Shrimp - 16/20, Peeled Deviened","Brazil","8","103","Medium","3155"
"Hinge W Undercut","Greece","50","233","Low","3337"
"Squid - U 5","Ecuador","41","326","Medium","3451"
"Bread Crumbs - Panko","China","84","202","Medium","3054"
"Chocolate - Feathers","Vietnam","27","127","Low","3064"
"Appetizer - Cheese Bites","Greece","88","274","Low","3091"
"Trueblue - Blueberry","Palestinian Territory","30","318","Medium","2587"
"Clams - Canned","Philippines","80","148","Low","3401"
"Clams - Littleneck, Whole","Czech Republic","12","142","High","3048"
"Tart - Pecan Butter Squares","China","8","170","High","2901"
"Sauce - Apple, Unsweetened","Luxembourg","60","400","Medium","3437"
"Liners - Banana, Paper","China","42","391","Medium","3421"
"Soap - Pine Sol Floor Cleaner","Central African Republic","1","121","High","3473"
"Wine - Rosso Del Veronese Igt","Ukraine","64","252","Low","3137"
"Pepper - Black, Crushed","Russia","67","265","Low","3321"
"Beef - Ox Tongue","Philippines","74","235","Low","2875"
"Pepper - Pablano","Philippines","20","179","Medium","3837"
"Puree - Guava","Iran","51","379","High","2797"
"Crackers - Melba Toast","Russia","19","151","High","3635"
"Fib N9 - Prague Powder","Philippines","66","218","Low","3495"
"English Muffin","Venezuela","37","316","High","2735"
"Mushroom - Chantrelle, Fresh","Indonesia","55","311","High","3249"
"Longos - Grilled Salmon With Bbq","Russia","30","316","Medium","3477"
"Squid Ink","China","88","308","Low","3449"
"Muffin Hinge 117n","Poland","48","314","High","3333"
"Sprouts - Alfalfa","China","47","392","High","2226"
"Bread Bowl Plain","Kenya","9","195","High","3785"
"Langers - Ruby Red Grapfruit","Sweden","30","357","Medium","2800"
"Wine - White, Gewurtzraminer","Canada","18","321","Medium","3416"
"Sparkling Wine - Rose, Freixenet","Greece","81","261","Low","3381"
"Tea - Lemon Green Tea","Nicaragua","18","106","High","3552"
"Soup - Campbells - Chicken Noodle","Netherlands","3","130","High","3727"
"Venison - Ground","United States","49","375","High","2600"
"Flower - Daisies","China","64","236","Low","3033"
"Tequila - Sauza Silver","Greece","55","353","Medium","3248"
"Juice - Lime","Cyprus","88","265","Low","3066"
"Wine - Savigny - Les - Beaune","Norway","26","176","High","3001"
"Bread - Hamburger Buns","Dominican Republic","43","356","Medium","3415"
"Vodka - Smirnoff","Mexico","82","250","Low","3548"
"Ocean Spray - Ruby Red","China","15","163","Low","3974"
"Bread - Rolls, Corn","Japan","10","113","High","3230"
"Beef - Top Butt","China","41","316","Medium","2691"
"Teriyaki Sauce","Japan","51","370","High","2685"
"Beer - Original Organic Lager","China","75","229","Low","3441"
"Cheese - Romano, Grated","Sweden","30","157","High","3434"
"Tuna - Salad Premix","Malaysia","65","207","Low","3348"
"Salmon - Sockeye Raw","Philippines","13","122","High","3014"
"Curry Paste - Madras","Cuba","45","368","Medium","3002"
"Hot Chocolate - Individual","China","36","326","Medium","3439"
"Beer - Maudite","China","78","225","High","3179"
"Longos - Lasagna Beef","Brazil","73","235","Low","3271"
"Cake Circle, Paprus","Indonesia","27","103","High","3987"
"Beef - Bones, Cut - Up","Russia","0","132","High","3298"
"Crackers - Soda / Saltins","Venezuela","79","297","Low","3463"
"Soup - Knorr, Chicken Noodle","Poland","49","329","Medium","3032"
"Cookie Dough - Double","Afghanistan","74","240","Low","3148"
"Icecream Cone - Areo Chocolate","Portugal","64","295","Low","3201"
"Wine - Taylors Reserve","Canada","48","342","High","3051"
"Chef Hat 20cm","Indonesia","75","230","Low","3004"
"Wine - White, Pinot Grigio","Norway","81","225","Low","3118"
"Cornish Hen","Finland","81","217","Low","3004"
"Cheese Cheddar Processed","Indonesia","60","282","Low","3094"
"Pecan Raisin - Tarts","Micronesia","38","342","Medium","2582"
"Onions - Cooking","Russia","68","208","Low","3394"
"Flour - Masa De Harina Mexican","Indonesia","59","364","Medium","3080"
"Rice Pilaf, Dry,package","China","55","382","Medium","3180"
"Muffin Carrot - Individual","Peru","19","115","High","3305"
"Wine - Red, Metus Rose","Chile","87","268","Low","3017"
"Lemon Grass","China","73","211","Low","3351"
"Lychee","China","33","356","Medium","2902"
"Coke - Classic, 355 Ml","Russia","81","247","Medium","3340"
"Beef - Prime Rib Aaa","Syria","-1","186","High","3915"
"Appetizer - Sausage Rolls","China","65","234","Low","3368"
"Bread - Mini Hamburger Bun","Indonesia","30","107","High","3101"
"Turnip - Mini","Japan","62","272","Low","3399"
"Hersey Shakes","Indonesia","10","116","Low","3114"
"Tabasco Sauce, 2 Oz","China","86","276","Low","3365"
"Pasta - Fusili, Dry","China","55","398","Medium","2797"
"Propel Sport Drink","Sweden","83","201","Low","3226"
"Juice - Grapefruit, 341 Ml","Indonesia","24","189","High","3318"
"Chips - Doritos","Poland","14","102","High","3860"
"Roe - Lump Fish, Red","Indonesia","75","288","Low","3159"
"Clams - Canned","Poland","47","354","Medium","2994"
"Soup - Boston Clam Chowder","Indonesia","11","244","High","3631"
"Wine - Red, Concha Y Toro","China","13","119","High","3455"
"Prunes - Pitted","Sweden","33","287","High","3015"
"Skirt - 29 Foot","Indonesia","64","238","Low","3075"
"Syrup - Chocolate","China","9","110","Medium","3266"
"Wakami Seaweed","China","41","328","Medium","3090"
"Oats Large Flake","Cuba","65","240","Low","3275"
"Liqueur - Melon","Portugal","58","387","Medium","2830"
"Pork - Kidney","China","19","175","High","3434"
"Cheese - Cheddarsliced","Japan","7","156","High","3827"
"Chinese Foods - Cantonese","China","33","388","Medium","2849"
"Bread - Hamburger Buns","Philippines","26","151","High","3543"
"Garlic","China","15","184","High","3601"
"Cheese - Cambozola","Nigeria","10","172","High","3158"
"Transfer Sheets","Netherlands","69","275","Low","3490"
"Wine - Chateau Bonnet","Colombia","74","284","Low","3227"
"Coffee - Frthy Coffee Crisp","China","38","318","Medium","2704"
"Muffin Batt - Ban Dream Zero","Poland","0","124","High","3799"
"Pork - Ham Hocks - Smoked","Armenia","41","332","Medium","3290"
"Mudslide","Argentina","77","236","Low","3455"
"Jack Daniels","Luxembourg","59","320","Medium","2950"
"Pimento - Canned","United States","68","269","Low","3182"
"Bandage - Fexible 1x3","Cuba","46","393","Medium","2562"
"Cheese - Oka","Myanmar","76","249","Low","3477"
"Gatorade - Cool Blue Raspberry","France","31","370","Medium","3436"
"Nut - Peanut, Roasted","Pakistan","79","251","Medium","3116"
"Ocean Spray - Kiwi Strawberry","Palestinian Territory","19","189","Medium","3200"
"Chestnuts - Whole,canned","Chile","38","304","Medium","2686"
"Egg Patty Fried","Brazil","43","353","Low","3291"
"Chicken - Wings, Tip Off","Indonesia","0","192","Medium","3533"
"Table Cloth 53x69 White","France","7","190","Medium","3413"
"Iced Tea - Lemon, 460 Ml","Philippines","25","154","Medium","3697"
"Gelatine Powder","China","50","373","Medium","2985"
"Onions Granulated","United States","50","305","Medium","2992"
"Flour - Buckwheat, Dark","United States","112","201","Low","2782"
"Kahlua","Slovenia","13","145","Medium","3414"
"Rum - Coconut, Malibu","China","28","319","Medium","2708"
"Potatoes - Fingerling 4 Oz","Indonesia","39","399","Medium","2982"
"Pork - Chop, Frenched","Bolivia","20","117","Medium","3279"
"Nut - Walnut, Chopped","China","25","174","High","3102"
"Soup - Knorr, French Onion","Philippines","52","348","Medium","2622"
"Ice Cream Bar - Oreo Cone","Vietnam","41","319","Medium","3323"
"Shrimp - Black Tiger 8 - 12","Comoros","39","318","Medium","2992"
"White Baguette","Poland","60","227","Low","3494"
"Juice - Cranberry, 341 Ml","Cuba","56","371","Medium","3472"
"Nectarines","Ukraine","73","240","High","3273"
"Lettuce - Red Leaf","U.S. Virgin Islands","68","232","Low","3180"
"Lentils - Green, Dry","Sweden","19","12","High","3301"
"Vinegar - Cider","China","67","288","Low","3268"
"Bols Melon Liqueur","Colombia","76","236","Low","3209"
"Sprouts Dikon","Philippines","90","247","Low","3900"
"Temperature Recording Station","Portugal","74","288","Low","3085"
"Cookie - Oreo 100x2","Philippines","89","234","Medium","3076"
"Tuna - Canned, Flaked, Light","Vietnam","70","257","High","3356"
"Chips Potato Swt Chilli Sour","China","44","301","Medium","3272"
"Wine - Alsace Gewurztraminer","Albania","49","368","High","3070"
"Lemon Pepper","Brazil","56","222","Low","3473"
"Nantucket - Orange Mango Cktl","China","87","298","Low","3135"
"Beef - Roasted, Cooked","Ecuador","45","295","Medium","2636"
"Apple - Northern Spy","Portugal","20","173","High","3163"
"Bar Special K","China","19","147","High","3885"
"Table Cloth 54x72 White","Chile","0","161","Medium","3911"
"Pork - Back, Short Cut, Boneless","Switzerland","19","112","Medium","3246"
"Grenadillo","Indonesia","54","347","Medium","3068"
"Danishes - Mini Cheese","China","31","382","Medium","3392"
"Eggwhite Frozen","Peru","15","104","High","3455"
"Bread - White, Sliced","Czech Republic","92","298","Low","3443"
"Bread Base - Toscano","Belarus","80","208","Low","3359"
"Latex Rubber Gloves Size 9","China","64","273","Low","3031"
"Wine - Niagara,vqa Reisling","China","33","387","Medium","2511"
"Potatoes - Yukon Gold 5 Oz","Poland","26","117","High","3525"
"Beef - Tongue, Fresh","Guam","14","160","Medium","3135"
"Papadam","Indonesia","18","173","High","4209"
"Versatainer Nc - 8288","Indonesia","79","262","Low","3412"
"Red Currant Jelly","China","83","272","Low","3264"
"Sausage - Meat","Russia","41","347","Medium","3384"
"Sansho Powder","Poland","0","171","High","3927"
"Lobster - Tail, 3 - 4 Oz","Philippines","32","172","High","3574"
"Cod - Black Whole Fillet","Russia","15","129","High","3627"
"Bread - Assorted Rolls","Kenya","49","343","Medium","2550"
"Quiche Assorted","Ukraine","19","324","Medium","2608"
"Doilies - 12, Paper","Finland","42","357","Medium","3408"
"Nantucket - Carrot Orange","China","25","121","High","3845"
"Steampan Lid","Philippines","26","159","High","3574"
"Broom And Broom Rack White","Indonesia","39","181","High","3675"
"Wine - Savigny - Les - Beaune","China","47","379","Medium","2623"
"Soap - Hand Soap","Philippines","71","244","Low","3037"
"Lid - 10,12,16 Oz","Brazil","31","313","Medium","2561"
"Nut - Hazelnut, Whole","Poland","36","371","Medium","3522"
"Pimento - Canned","Curacao","50","326","Medium","2884"
"Wine - Vovray Sec Domaine Huet","Philippines","22","106","Medium","3424"
"Salmon Atl.whole 8 - 10 Lb","Argentina","63","294","Low","3080"
"Pail With Metal Handle 16l White","Czech Republic","52","338","Medium","3217"
"Soup Campbells Split Pea And Ham","Indonesia","54","374","Medium","2820"
"Puree - Kiwi","Philippines","63","244","Low","3425"
"Soup - Campbells, Beef Barley","Czech Republic","5","8","High","3838"
"Fudge - Cream Fudge","Thailand","42","376","Medium","2595"
"Spice - Pepper Portions","Philippines","29","197","Medium","3985"
"Beef - Montreal Smoked Brisket","Norway","31","341","Medium","3067"
"Beef - Prime Rib Aaa","Argentina","86","212","Medium","3303"
"Cheese - Woolwich Goat, Log","France","12","160","Low","3685"
"Mackerel Whole Fresh","China","4","121","High","3024"
"Versatainer Nc - 9388","Russia","78","224","Low","3137"
"Ham - Proscuitto","Ukraine","1","131","High","3547"
"Veal - Liver","Indonesia","67","189","Medium","3218"
"Sauce - Chili","Jordan","77","213","High","3096"
"Chicken - Breast, 5 - 7 Oz","Indonesia","86","226","Low","3225"
"Juice - Apple, 1.36l","Namibia","51","375","Medium","3101"
"Wine - Prosecco Valdobienne","Brazil","-8","156","High","3142"
"Wine - Niagara,vqa Reisling","France","1","152","High","3292"
"Corn Syrup","Bangladesh","84","207","Low","3731"
"Wine - Magnotta - Cab Franc","Philippines","15","120","High","2792"
"Maintenance Removal Charge","United States","35","393","High","3089"
"Oil - Grapeseed Oil","Mexico","44","317","Low","3364"
"Bar Bran Honey Nut","Peru","60","289","Low","3392"
"Mushroom - Crimini","Russia","61","357","Medium","2854"
"Muffin Mix - Lemon Cranberry","South Africa","12","111","High","3065"
"Beef - Bones, Marrow","Mongolia","87","271","Low","3373"
"Wine - Magnotta - Cab Sauv","Canada","0","105","Medium","3863"
"Coffee Guatemala Dark","Japan","23","139","High","3084"
"Beef - Diced","Serbia","26","131","Medium","3864"
"Coffee - Ristretto Coffee Capsule","South Korea","17","130","High","3380"
"English Muffin","Palestinian Territory","55","383","Medium","3134"
"Tea - English Breakfast","Greece","33","375","Medium","2586"
"Pasta - Fusili, Dry","Democratic Republic of the Congo","65","218","Medium","3410"
"Cheese - Fontina","Poland","59","236","Medium","2903"
"Cheese - Asiago","Indonesia","32","393","Medium","3121"
"Bread - Pita, Mini","Russia","43","301","Medium","3438"
"Amaretto","Honduras","70","177","Low","3679"
"Skirt - 24 Foot","Japan","32","342","Medium","3340"
"White Baguette","China","84","236","Low","2852"
"Bread - Sour Batard","Brazil","13","111","High","3442"
"Pastrami","China","22","143","Medium","3411"
"Tomatoes - Vine Ripe, Red","Russia","76","276","Low","3378"
"Kiwi","Indonesia","87","203","Low","3035"
"Beef - Rouladin, Sliced","Saudi Arabia","11","132","Medium","3706"
"Puree - Pear","Japan","17","138","High","3264"
"Paper - Brown Paper Mini Cups","Russia","31","371","Medium","2950"
"Flower - Commercial Bronze","Indonesia","40","345","High","2671"
"Pepper - Chillies, Crushed","Thailand","36","304","Medium","2742"
"Pie Filling - Cherry","China","84","295","Low","3314"
"Appetizer - Spring Roll, Veg","China","36","310","Medium","3262"
"C - Plus, Orange","Philippines","7","146","Medium","3905"
"Quail - Whole, Boneless","China","10","117","High","3000"
"Alize Sunset","China","56","303","Medium","2852"
"Oranges - Navel, 72","China","60","322","Low","3353"
"Coffee - Frthy Coffee Crisp","Sweden","82","226","Low","3288"
"Vinegar - Rice","Azerbaijan","71","246","Medium","3277"
"Wine - White, Pinot Grigio","Serbia","19","197","High","3192"
"Pepsi, 355 Ml","Philippines","67","238","Low","3470"
"Chicken Breast Halal","Yemen","7","187","High","3702"
"Spring Roll Veg Mini","El Salvador","54","320","Medium","2864"
"Waffle Stix","Ukraine","54","387","Medium","3128"
"Phyllo Dough","Philippines","54","312","High","3210"
"Basil - Pesto Sauce","Colombia","7","120","Medium","3781"
"Rabbit - Whole","China","83","124","Medium","3325"
"Cake - Cheese Cake 9 Inch","Azerbaijan","49","304","Medium","2683"
"Quail Eggs - Canned","Colombia","65","200","Low","3326"
"Salt - Seasoned","China","67","172","Low","3259"
"Muffin Hinge - 211n","France","42","409","Low","3116"
"Sauce - Hollandaise","Philippines","64","267","Low","3450"
"Oil - Truffle, Black","Philippines","20","119","Medium","3257"
"Bread - Pumpernickel","China","7","379","Medium","3470"
"Sauce - Rosee","Kiribati","65","229","Low","3475"
"Cheese - Mozzarella, Shredded","Indonesia","60","331","Medium","2823"
"Tomatoes Tear Drop Yellow","Philippines","4","174","High","3637"
"Flour - Teff","Philippines","30","392","High","2970"
"Skirt - 24 Foot","China","10","208","High","3976"
"Thyme - Lemon, Fresh","Belarus","5","119","High","3024"
"Plasticspoonblack","China","53","383","Medium","2817"
"Bacardi Mojito","France","11","110","High","3444"
"Water - Spring Water 500ml","Portugal","24","126","High","3365"
"Ranchero - Primerba, Paste","Portugal","67","297","Low","3053"
"Squash - Butternut","Ukraine","56","387","Medium","3024"
"Tomatoes - Cherry, Yellow","Mozambique","2","200","High","3221"
"Wine - Red, Gallo, Merlot","Thailand","86","199","Low","3361"
"Pear - Halves","United States","59","307","High","2816"
"Ice Cream - Turtles Stick Bar","Brazil","-9","118","Low","3039"
"Mushroom - Enoki, Dry","Canada","79","297","Low","3389"
"Wine - White, Ej","Indonesia","32","400","High","2708"
"Ocean Spray - Kiwi Strawberry","Indonesia","73","262","Low","3417"
"Tequila - Sauza Silver","South Africa","35","316","High","3010"
"Carbonated Water - Blackcherry","Botswana","8","104","High","3819"
"Soup - Campbells - Tomato","Indonesia","85","232","Low","3165"
"Nantucket - 518ml","Belarus","62","201","Medium","3436"
"Cookies - Fortune","Russia","4","195","Low","3858"
"Plums - Red","China","47","332","Low","2654"
"Salt - Sea","Poland","17","196","Low","3860"
"Wine - White, Lindemans Bin 95","Russia","81","144","Low","3189"
"Salmon - Atlantic, No Skin","Vietnam","23","183","High","3736"
"Beef - Rib Eye Aaa","France","62","354","Medium","3215"
"Eggplant Oriental","Tanzania","50","363","Medium","2610"
"Sauce - Gravy, Au Jus, Mix","China","6","175","High","3791"
"Stock - Beef, White","China","68","292","Medium","3261"
"Beer - Tetleys","Philippines","53","376","High","2891"
"Icecream - Dstk Cml And Fdg","Russia","13","195","Low","3293"
"Cookies Oatmeal Raisin","Brazil","68","209","Low","2928"
"Blue Curacao - Marie Brizard","Israel","61","291","Medium","3141"
"Breadfruit","Albania","87","269","Low","3010"
"Wine - Tio Pepe Sherry Fino","South Africa","1","119","High","3305"
"Lotus Rootlets - Canned","Indonesia","58","314","Medium","2720"
"Molasses - Fancy","China","89","242","High","3094"
"Cheese - Mascarpone","Bulgaria","40","385","Medium","3249"
"Turkey Leg With Drum And Thigh","China","37","328","Medium","2959"
"Mountain Dew","Vietnam","-4","136","High","3644"
